StockCode,Description,Total_revenue,Total_Quantity,Num_Transactions,First_Sale_Date,Last_Sale_Date,Days_activity,Sales_velocity,Movment_category,CumulativeRevenue,TotalRevenuePct,CumulativePct,ABC_Class,stokeout_risk,SalesStdDev,Seasonality_score,Trend
10002,INFLATABLE POLITICAL GLOBE ,699.55,823,49,2010-12-01,2011-04-18,139,5.92,fast_moving,699.55,7.850050267433029e-05,7.850050267433029e-05,A,meduim_risk,129.45,high,stable
10080,GROOVY CACTUS INFLATABLE,114.41,291,21,2011-02-27,2011-11-21,268,1.09,medium_moving,813.9599999999999,1.2838599829847943e-05,9.133910250417823e-05,A,meduim_risk,32.41,medium,stable
10120,DOGGY RUBBER,40.53,193,29,2010-12-03,2011-12-04,367,0.53,slow_moving,854.4899999999999,4.548102885269969e-06,9.588720538944819e-05,A,meduim_risk,15.52,low,stable
10125,MINI FUNKY DESIGN TAPES,930.3,1226,61,2010-12-01,2011-12-09,374,3.28,medium_moving,1784.79,0.00010439427866189616,0.00020028148405134438,A,low_risk,61.05,medium,stable
10133,COLOURING PENCILS BROWN TUBE,1143.6100000000001,2384,122,2010-12-01,2011-09-07,281,8.48,fast_moving,2928.4,0.00012833101259865752,0.0003286124966500019,A,meduim_risk,269.87,high,stable
10135,COLOURING PENCILS BROWN TUBE,1786.69,1938,117,2010-12-02,2011-12-07,371,5.22,fast_moving,4715.09,0.0002004946939077967,0.0005291071905577986,A,meduim_risk,269.87,high,stable
11001,ASSTD DESIGN RACING CAR PEN,1953.0,1252,62,2010-12-05,2011-12-05,366,3.42,medium_moving,6668.09,0.00021915728929021092,0.0007482644798480095,A,High_risk,124.89,high,stable
15030,FAN BLACK FRAME ,41.47,143,12,2011-03-24,2011-12-06,258,0.55,slow_moving,6709.56,4.653585656356911e-06,0.0007529180655043665,A,High_risk,29.5,medium,stable
15034,PAPER POCKET TRAVELING FAN ,697.0600000000001,6419,91,2010-12-05,2011-11-28,359,17.88,fast_moving,7406.620000000001,7.822108554666382e-05,0.0008311391510510304,A,High_risk,596.06,high,stable
15036,ASSORTED COLOURS SILK FAN,16044.44,21876,324,2010-12-02,2011-12-02,366,59.77,fast_moving,23451.06,0.0018004382890831705,0.0026315774401342007,A,meduim_risk,1305.53,high,stable
15039,SANDALWOOD FAN,1133.15,1559,70,2010-12-05,2011-12-08,369,4.22,fast_moving,24584.210000000003,0.00012715723623103048,0.0027587346763652313,A,High_risk,180.4,high,stable
16008,SMALL FOLDING SCISSOR(POINTED EDGE),360.71,2892,70,2010-12-09,2011-12-09,366,7.9,fast_moving,24944.920000000002,4.047733016890526e-05,0.0027992120065341367,A,High_risk,270.34,high,stable
16010,FOLDING CAMPING SCISSOR W/KNIF & S,3.5999999999999996,30,3,2010-12-05,2011-03-28,114,0.26,slow_moving,24948.52,4.0397657012020445e-07,0.0027996159831042565,A,low_risk,3.46,low,stable
16011,ANIMAL STICKERS,372.33,1773,46,2010-12-05,2011-12-07,368,4.82,fast_moving,25320.850000000002,4.178127676468215e-05,0.002841397259868939,A,meduim_risk,90.34,medium,stable
16012,FOOD/DRINK SPONGE STICKERS,261.24,1244,35,2010-12-02,2011-12-05,369,3.37,medium_moving,25582.090000000004,2.9315233105056172e-05,0.0028707124929739955,A,meduim_risk,109.0,high,stable
16014,SMALL CHINESE STYLE SCISSOR,4335.76,13328,54,2010-12-01,2011-12-09,374,35.64,fast_moving,29917.850000000006,0.0004865404037956605,0.003357252896769656,A,High_risk,1185.14,high,stable
16015,MEDIUM CHINESE STYLE SCISSOR,289.98,662,24,2010-12-09,2011-11-17,344,1.92,medium_moving,30207.830000000005,3.254031272318247e-05,0.0033897932094928383,A,High_risk,87.27,medium,stable
16016,LARGE CHINESE STYLE SCISSOR,1053.45,1273,65,2010-12-01,2011-12-09,374,3.4,medium_moving,31261.280000000006,0.00011821364383142483,0.0035080068533242634,A,meduim_risk,77.0,medium,stable
16033,MINI HIGHLIGHTER PENS,100.79999999999998,840,4,2010-12-12,2011-02-17,68,12.35,fast_moving,31362.080000000005,1.1311343963365723e-05,0.003519318197287629,A,low_risk,183.3,high,
16043,POP ART PUSH DOWN RUBBER ,11.759999999999998,98,2,2011-06-07,2011-06-09,3,32.67,fast_moving,31373.840000000004,1.319656795726001e-06,0.003520637854083355,A,,,,stable
16045,POPART WOODEN PENCILS ASST,380.0,8900,68,2010-12-22,2011-12-05,349,25.5,fast_moving,31753.840000000004,4.2641971290466026e-05,0.003563279825373821,A,meduim_risk,706.12,high,stable
16046,TEATIME PEN CASE & PENS,56.949999999999996,67,13,2010-12-02,2011-11-28,362,0.19,slow_moving,31810.790000000005,6.39068490787379e-06,0.0035696705102816946,A,High_risk,9.37,low,stable
16048,TEATIME ROUND PENCIL SHARPENER ,186.84,1437,47,2010-12-16,2011-11-25,345,4.17,fast_moving,31997.630000000005,2.096638398923861e-05,0.0035906368942709333,A,low_risk,82.49,medium,stable
16049,TEATIME GEL PENS ASST,82.08,504,5,2011-04-26,2011-05-25,30,16.8,fast_moving,32079.710000000006,9.210665798740662e-06,0.003599847560069674,A,High_risk,305.47,high,stable
