Description,AvgMonthlySales,AvgDailySales,SalesStdDev,SafetyStock,LeadTimeDemand,ReorderPoint,AnnualDemand,EOQ
 4 PURPLE FLOCK DINNER CANDLES,11.67,0.389,16.98,19,5.45,24.0,140.04,84.0
 50'S CHRISTMAS GIFT BAG LARGE,377.0,12.566666666666666,394.45,443,175.93,619.0,4524.0,476.0
 DOLLY GIRL BEAKER,399.67,13.322333333333335,359.48,404,186.51,591.0,4796.04,490.0
 I LOVE LONDON MINI BACKPACK,90.0,3.0,63.57,71,42.0,113.0,1080.0,232.0
 I LOVE LONDON MINI RUCKSACK,1.0,0.03333333333333333,,0,0.47,0.0,12.0,24.0
 NINE DRAWER OFFICE TIDY,18.33,0.611,9.5,11,8.55,20.0,219.95999999999998,105.0
 OVAL WALL MIRROR DIAMANTE ,10.08,0.336,8.73,10,4.7,15.0,120.96000000000001,78.0
 RED SPOT GIFT BAG LARGE,340.0,11.333333333333334,292.55,329,158.67,488.0,4080.0,452.0
 SET 2 TEA TOWELS I LOVE LONDON ,375.29,12.509666666666668,319.95,360,175.14,535.0,4503.4800000000005,475.0
 SPACEBOY BABY GIFT SET,45.0,1.5,36.33,41,21.0,62.0,540.0,164.0
 TOADSTOOL BEDSIDE LIGHT ,2.0,0.06666666666666667,,0,0.93,1.0,24.0,35.0
 TRELLIS COAT RACK,54.25,1.8083333333333333,48.5,55,25.32,80.0,651.0,180.0
10 COLOUR SPACEBOY PEN,482.08,16.069333333333333,226.31,254,224.97,479.0,5784.96,538.0
12 COLOURED PARTY BALLOONS,162.31,5.410333333333333,85.89,97,75.74,173.0,1947.72,312.0
12 DAISY PEGS IN WOOD BOX,29.73,0.991,30.88,35,13.87,49.0,356.76,134.0
12 EGG HOUSE PAINTED WOOD,8.54,0.2846666666666666,5.59,6,3.99,10.0,102.47999999999999,72.0
12 HANGING EGGS HAND PAINTED,21.0,0.7,15.56,17,9.8,27.0,252.0,112.0
12 IVORY ROSE PEG PLACE SETTINGS,74.9,2.496666666666667,51.19,58,34.95,93.0,898.8000000000001,212.0
12 MESSAGE CARDS WITH ENVELOPES,125.23,4.174333333333333,53.26,60,58.44,118.0,1502.76,274.0
12 PENCIL SMALL TUBE WOODLAND,333.92,11.130666666666666,355.5,399,155.83,555.0,4007.04,448.0
12 PENCILS SMALL TUBE RED RETROSPOT,640.0,21.333333333333332,430.36,484,298.67,783.0,7680.0,620.0
12 PENCILS SMALL TUBE SKULL,518.0,17.266666666666666,313.4,352,241.73,594.0,6216.0,557.0
12 PENCILS TALL TUBE POSY,346.27,11.542333333333334,447.56,503,161.59,665.0,4155.24,456.0
12 PENCILS TALL TUBE RED RETROSPOT,204.0,6.8,131.05,147,95.2,242.0,2448.0,350.0
12 PENCILS TALL TUBE SKULLS,155.31,5.1770000000000005,160.19,180,72.48,252.0,1863.72,305.0
12 PENCILS TALL TUBE WOODLAND,142.38,4.7459999999999996,104.69,118,66.44,184.0,1708.56,292.0
12 PINK HEN+CHICKS IN BASKET,10.25,0.3416666666666667,10.75,12,4.78,17.0,123.0,78.0
12 PINK ROSE PEG PLACE SETTINGS,35.67,1.189,45.42,51,16.65,68.0,428.04,146.0
