year,month,Description,Quantity,Total_revenue
2010,12, 4 PURPLE FLOCK DINNER CANDLES,14,35.699999999999996
2010,12, OVAL WALL MIRROR DIAMANTE ,9,89.55
2010,12, SET 2 TEA TOWELS I LOVE LONDON ,257,758.1500000000001
2010,12,10 COLOUR SPACEBOY PEN,547,464.95
2010,12,12 COLOURED PARTY BALLOONS,48,31.2
2010,12,12 DAISY PEGS IN WOOD BOX,15,24.75
2010,12,12 EGG HOUSE PAINTED WOOD,2,25.5
2010,12,12 IVORY ROSE PEG PLACE SETTINGS,21,26.25
2010,12,12 MESSAGE CARDS WITH ENVELOPES,184,279.6
2010,12,12 PENCIL SMALL TUBE WOODLAND,264,171.60000000000002
2010,12,12 PENCILS SMALL TUBE RED RETROSPOT,644,418.6
2010,12,12 PENCILS SMALL TUBE SKULL,322,209.3
2010,12,12 PENCILS TALL TUBE POSY,17,14.45
2010,12,12 PENCILS TALL TUBE RED RETROSPOT,148,125.8
2010,12,12 PENCILS TALL TUBE SKULLS,143,121.55
2010,12,12 PENCILS TALL TUBE WOODLAND,102,86.7
2010,12,12 PINK ROSE PEG PLACE SETTINGS,16,20.0
2010,12,12 RED ROSE PEG PLACE SETTINGS,9,11.25
2010,12,15CM CHRISTMAS GLASS BALL 20 LIGHTS,84,655.8000000000001
2010,12,20 DOLLY PEGS RETROSPOT,374,431.02000000000004
2010,12,200 BENDY SKULL STRAWS,40,50.0
2010,12,200 RED + WHITE BENDY STRAWS,72,90.0
2010,12,3 GARDENIA MORRIS BOXED CANDLES,9,38.25
2010,12,3 HEARTS HANGING DECORATION RUSTIC,455,1291.05
2010,12,3 HOOK HANGER MAGIC GARDEN,96,187.2
2010,12,3 HOOK PHOTO SHELF ANTIQUE WHITE,60,489.6
2010,12,3 PIECE SPACEBOY COOKIE CUTTER SET,139,291.90000000000003
2010,12,3 ROSE MORRIS BOXED CANDLES,70,117.5
2010,12,3 STRIPEY MICE FELTCRAFT,236,448.2
2010,12,3 TIER CAKE TIN GREEN AND CREAM,20,299.0
2010,12,3 TIER CAKE TIN RED AND CREAM,14,209.29999999999998
2010,12,3 TIER SWEETHEART GARDEN SHELF,2,71.9
2010,12,3 TRADITIONAL COOKIE CUTTERS  SET,18,37.800000000000004
2010,12,3 TRADITIONAl BISCUIT CUTTERS  SET,60,126.00000000000001
2010,12,3 WHITE CHOC MORRIS BOXED CANDLES,60,111.0
2010,12,36 DOILIES DOLLY GIRL,159,230.54999999999998
2010,12,36 FOIL HEART CAKE CASES,135,271.5
2010,12,36 FOIL STAR CAKE CASES ,44,92.4
2010,12,36 PENCILS TUBE POSY,5,6.25
2010,12,36 PENCILS TUBE RED RETROSPOT,156,195.0
2010,12,36 PENCILS TUBE SKULLS,41,51.25
2010,12,36 PENCILS TUBE WOODLAND,74,92.5
2010,12,3D CHRISTMAS STAMPS STICKERS ,98,122.5
2010,12,3D DOG PICTURE PLAYING CARDS,67,197.65000000000003
2010,12,3D HEARTS  HONEYCOMB PAPER GARLAND,1,2.95
2010,12,3D SHEET OF CAT STICKERS,38,32.3
2010,12,3D SHEET OF DOG STICKERS,34,28.9
2010,12,3D TRADITIONAL CHRISTMAS STICKERS,92,115.0
2010,12,3D VINTAGE CHRISTMAS STICKERS ,86,107.5
2010,12,4 BLUE DINNER CANDLES SILVER FLOCK,17,43.349999999999994
2010,12,4 BURGUNDY WINE DINNER CANDLES,26,32.5
2010,12,4 IVORY DINNER CANDLES SILVER FLOCK,92,218.4
2010,12,4 LAVENDER BOTANICAL DINNER CANDLES,68,105.0
2010,12,4 LILY  BOTANICAL DINNER CANDLES,42,97.5
2010,12,4 PEAR BOTANICAL DINNER CANDLES,25,63.75
2010,12,4 PINK DINNER CANDLE SILVER FLOCK,1,2.55
2010,12,4 PINK FLOCK CHRISTMAS BALLS,14,17.5
2010,12,4 ROSE PINK DINNER CANDLES,12,15.0
2010,12,4 SKY BLUE DINNER CANDLES,12,15.0
2010,12,4 TRADITIONAL SPINNING TOPS,192,240.0
2010,12,4 VANILLA BOTANICAL CANDLES,75,101.25
2010,12,4 WILDFLOWER BOTANICAL CANDLES,15,26.25
2010,12,5 HOOK HANGER MAGIC TOADSTOOL,103,169.95
2010,12,5 HOOK HANGER RED MAGIC TOADSTOOL,125,206.24999999999997
2010,12,5 STRAND GLASS NECKLACE AMBER,1,6.35
2010,12,5 STRAND GLASS NECKLACE BLACK,2,12.7
2010,12,5 STRAND GLASS NECKLACE CRYSTAL,6,38.099999999999994
2010,12,6 CHOCOLATE LOVE HEART T-LIGHTS,177,342.18
2010,12,6 EGG HOUSE PAINTED WOOD,17,135.15
2010,12,6 RIBBONS ELEGANT CHRISTMAS ,387,576.15
2010,12,6 RIBBONS EMPIRE  ,69,113.84999999999998
2010,12,6 RIBBONS RUSTIC CHARM,618,990.8999999999999
2010,12,6 RIBBONS SHIMMERING PINKS ,308,183.48
2010,12,6 ROCKET BALLOONS ,91,59.150000000000006
2010,12,60 CAKE CASES DOLLY GIRL DESIGN,601,314.95
2010,12,60 CAKE CASES VINTAGE CHRISTMAS,1147,584.0500000000001
2010,12,60 TEATIME FAIRY CAKE CASES,1549,733.15
2010,12,72 CAKE CASES VINTAGE CHRISTMAS,24,13.200000000000001
2010,12,72 SWEETHEART FAIRY CAKE CASES,1423,674.65
2010,12,75 BLACK PETIT FOUR CASES,16,6.72
2010,12,75 GREEN PETIT FOUR CASES,33,13.86
2010,12,A4 WALL TIDY BLUE OFFICE,12,7.800000000000001
2010,12,ABSTRACT CIRCLE JOURNAL ,6,15.299999999999999
2010,12,ABSTRACT CIRCLES POCKET BOOK,13,11.05
2010,12,ABSTRACT CIRCLES SKETCHBOOK ,11,41.25
2010,12,"ACRYLIC JEWEL SNOWFLAKE,PINK",6,15.299999999999999
2010,12,ADVENT CALENDAR GINGHAM SACK,13,77.35000000000001
2010,12,AFGHAN SLIPPER SOCK PAIR,430,1383.5
2010,12,AGED GLASS SILVER T-LIGHT HOLDER,992,611.2
2010,12,AIRLINE BAG VINTAGE JET SET BROWN,32,132.4
2010,12,AIRLINE BAG VINTAGE JET SET RED,41,170.65
2010,12,AIRLINE BAG VINTAGE JET SET WHITE,12,51.0
2010,12,AIRLINE BAG VINTAGE TOKYO 78,75,312.75
2010,12,AIRLINE BAG VINTAGE WORLD CHAMPION ,9,38.25
2010,12,"AIRLINE LOUNGE,METAL SIGN",39,81.9
2010,12,ALARM CLOCK BAKELIKE CHOCOLATE,94,352.5
2010,12,ALARM CLOCK BAKELIKE GREEN,418,1567.5
2010,12,ALARM CLOCK BAKELIKE IVORY,203,761.25
2010,12,ALARM CLOCK BAKELIKE ORANGE,168,630.0
2010,12,ALARM CLOCK BAKELIKE PINK,296,1110.0
2010,12,ALARM CLOCK BAKELIKE RED ,437,1638.75
2010,12,ALPHABET HEARTS STICKER SHEET,40,34.0
2010,12,ALPHABET STENCIL CRAFT,74,92.5
2010,12,AMBER CHUNKY BEAD BRACELET W STRAP,5,44.75
2010,12,AMBER CHUNKY GLASS+BEAD NECKLACE,4,47.8
2010,12,AMBER DIAMANTE EXPANDABLE RING,3,12.75
2010,12,AMBER FINE BEAD NECKLACE W TASSEL,1,5.95
2010,12,AMETHYST CHUNKY BEAD BRACELET W STR,5,44.75
2010,12,AMETHYST DIAMANTE EXPANDABLE RING,1,4.25
2010,12,AMETHYST HOOP EARRING FLORAL LEAF,3,8.850000000000001
2010,12,ANGEL DECORATION 3 BUTTONS ,1013,399.53999999999996
2010,12,ANGEL DECORATION PAINTED ZINC ,76,49.400000000000006
2010,12,ANGEL DECORATION STARS ON DRESS,246,103.32000000000001
2010,12,ANGEL DECORATION WITH LACE PADDED,133,113.04999999999998
2010,12,ANIMAL STICKERS,94,19.740000000000002
2010,12,ANT COPPER LIME BOUDICCA BRACELET,3,14.850000000000001
2010,12,ANT COPPER PINK BOUDICCA BRACELET,3,14.850000000000001
2010,12,ANT COPPER RED BOUDICCA BRACELET,1,4.95
2010,12,ANT COPPER TURQ BOUDICCA BRACELET,6,29.700000000000003
2010,12,ANT SILVER FUSCHIA BOUDICCA RING,2,5.9
2010,12,ANT SILVER LIME GREEN BOUDICCA RING,3,8.850000000000001
2010,12,ANT SILVER PURPLE BOUDICCA RING,3,8.850000000000001
2010,12,ANT WHITE WIRE HEART SPIRAL,44,157.0
2010,12,ANTIQUE ALL GLASS CANDLESTICK,38,79.80000000000001
2010,12,ANTIQUE GLASS DRESSING TABLE POT,195,575.25
2010,12,ANTIQUE GLASS HEART DECORATION ,247,481.65
2010,12,ANTIQUE GLASS PEDESTAL BOWL,98,367.5
2010,12,ANTIQUE GLASS PLACE SETTING,24,30.0
2010,12,ANTIQUE SILVER TEA GLASS ENGRAVED,412,487.64
2010,12,ANTIQUE SILVER TEA GLASS ETCHED,1323,1544.31
2010,12,ANTIQUE TALL SWIRLGLASS TRINKET POT,134,502.5
2010,12,APPLE BATH SPONGE,292,365.0
2010,12,APRON APPLE DELIGHT,16,79.2
2010,12,APRON MODERN VINTAGE COTTON,9,53.550000000000004
2010,12,AREA PATROLLED METAL SIGN,182,382.20000000000005
2010,12,ARMY CAMO BOOKCOVER TAPE,5,2.1
2010,12,"ART LIGHTS,FUNK MONKEY",52,137.4
2010,12,ASS COL CIRCLE MOBILE ,5,2.1
2010,12,ASS COL LARGE SAND FROG P'WEIGHT,18,18.900000000000002
2010,12,ASS COL SMALL SAND GECKO P'WEIGHT,12,5.04
2010,12,ASS COLOUR GLOWING TIARAS,14,11.9
2010,12,ASS DES PHONE SPONGE CRAFT STICKER,185,65.05
2010,12,ASS FLORAL PRINT MULTI SCREWDRIVER,120,50.4
2010,12,ASS FLORAL PRINT SPIRIT LEVEL ,2,3.9
2010,12,ASSORTED BOTTLE TOP  MAGNETS ,450,174.6
2010,12,ASSORTED CAKES FRIDGE MAGNETS,12,7.800000000000001
2010,12,ASSORTED CHEESE FRIDGE MAGNETS,7,4.550000000000001
2010,12,ASSORTED CIRCULAR MOBILE,5,1.05
2010,12,ASSORTED COLOUR BIRD ORNAMENT,2267,3666.1099999999997
2010,12,ASSORTED COLOUR LIZARD SUCTION HOOK,72,30.240000000000002
2010,12,ASSORTED COLOUR METAL CAT ,12,15.0
2010,12,ASSORTED COLOUR MINI CASES,141,1024.95
2010,12,ASSORTED COLOUR SUCTION CUP HOOK,52,9.88
2010,12,ASSORTED COLOUR T-LIGHT HOLDER,1884,1042.2
2010,12,ASSORTED COLOURS SILK FAN,132,99.0
2010,12,ASSORTED CREEPY CRAWLIES,481,202.02
2010,12,ASSORTED EASTER DECORATIONS  BELLS,306,327.78000000000003
2010,12,ASSORTED EASTER GIFT TAGS,60,51.0
2010,12,"ASSORTED FLOWER COLOUR ""LEIS""",529,233.45
2010,12,ASSORTED INCENSE PACK,1656,275.76
2010,12,ASSORTED LAQUERED INCENSE HOLDERS,1728,293.76000000000005
2010,12,ASSORTED MONKEY SUCTION CUP HOOK,1,0.42
2010,12,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,27,22.95
2010,12,ASSORTED TUTTI FRUTTI BRACELET,152,32.56
2010,12,ASSORTED TUTTI FRUTTI HEART BOX,40,50.0
