feature,importance
Attrition_original,0.5621632932641234
MonthlyIncome,0.04462309762221061
Age,0.030364426513066707
TotalWorkingYears,0.028762767116947977
OverTime,0.024463393320844202
YearsWithCurrManager,0.023514695600647204
YearsInCurrentRole,0.02328321388098921
StockOptionLevel,0.021286559606176546
YearsAtCompany,0.02038361236640792
MonthlyRate,0.016547628025137345
JobRole,0.01641704162281396
DailyRate,0.016307351628718547
NumCompaniesWorked,0.01612732789688798
DistanceFromHome,0.015019538522099425
HourlyRate,0.014695798074224217
JobLevel,0.01352209825387054
PercentSalaryHike,0.012187986132120385
EnvironmentSatisfaction,0.012012314561679614
MaritalStatus,0.010210409506818055
YearsSinceLastPromotion,0.009649289301239181
RelationshipSatisfaction,0.00890208610747294
JobInvolvement,0.008130255587200153
TrainingTimesLastYear,0.007952329539897043
Department,0.007800889314715167
JobSatisfaction,0.007230936375551864
WorkLifeBalance,0.007080921905977407
Education,0.00644997992257117
EducationField,0.0054672283890976735
BusinessTravel,0.005139154665127201
Gender,0.002892717939566369
PerformanceRating,0.0014116574357998786
Over18,0.0
