discount,ram_gb,storage_gb,storage_type,price_usd_$,old_price_usd_$
60%,8,8,HDD,149.07,373.33
50%,4,4,SSD,93.07,186.67
49%,4,4,SSD,87.73,173.33
55%,4,4,SSD,117.33,261.34
50%,16,16,HDD,159.73,320.0
46%,4,4,SSD,87.73,162.67
46%,8,8,HDD,130.11,240.0
55%,4,4,SSD,95.04,213.33
44%,4,4,SSD,87.73,157.33
68%,8,8,HDD,154.4,477.34
51%,8,8,HDD,130.4,266.67
59%,4,64,SSD,85.07,208.0
48%,16,16,HDD,178.64,346.67
49%,4,4,SSD,87.73,173.33
52%,4,4,SSD,87.73,184.0
49%,8,8,HDD,150.27,293.33
65%,8,8,HDD,141.07,400.0
64%,8,8,HDD,123.79,346.67
61%,8,8,HDD,144.0,370.67
39%,8,8,SSD,274.67,453.33
50%,4,4,SSD,87.73,176.0
53%,8,8,HDD,141.33,301.33
48%,12,12,HDD,207.97,400.0
58%,8,8,HDD,123.88,293.33
53%,4,4,SSD,87.73,186.67
25%,8,8,SSD,170.67,226.67
52%,4,4,SSD,87.73,183.73
50%,12,12,SSD,159.73,320.0
46%,8,8,SSD,159.73,293.33
,8,8,SSD,533.33,
,8,8,SSD,400.0,
59%,8,8,HDD,146.39,360.0
25%,8,8,HDD,150.67,200.0
90%,4,4,SSD,120.0,1200.0
50%,16,16,SSD,265.33,533.33
41%,8,8,HDD,148.0,250.67
47%,8,8,HDD,133.07,253.33
45%,4,4,SSD,95.73,173.33
43%,8,8,SSD,154.4,272.0
48%,8,8,HDD,125.07,239.73
49%,4,4,SSD,87.73,173.33
46%,4,4,SSD,129.33,240.0
57%,4,4,SSD,93.07,215.73
43%,4,128,SSD,89.33,157.33
51%,8,8,SSD,237.33,480.0
94%,4,4,HDD,92.0,1466.67
38%,16,16,SSD,264.0,426.67
45%,4,128,SSD,96.0,173.33
42%,4,4,SSD,106.4,184.0
35%,16,16,HDD,171.73,264.0
63%,8,8,HDD,140.0,373.33
45%,8,8,SSD,173.07,317.33
,8,8,SSD,666.67,
50%,4,4,SSD,87.73,176.0
45%,4,4,SSD,117.33,213.33
67%,16,16,HDD,167.73,506.64
52%,12,12,HDD,154.13,320.0
53%,4,4,SSD,159.97,344.0
32%,4,4,SSD,117.33,173.33
51%,4,4,SSD,87.73,180.82
39%,4,4,SSD,90.13,146.67
33%,16,16,SSD,533.07,800.0
48%,16,16,SSD,346.67,666.67
45%,16,16,HDD,159.97,293.33
45%,4,4,SSD,87.73,160.0
51%,4,4,SSD,85.07,173.33
35%,8,8,SSD,173.07,266.4
39%,8,8,SSD,170.64,280.0
45%,4,4,SSD,87.73,160.0
60%,4,64,SSD,79.97,201.33
56%,4,4,SSD,93.07,213.33
37%,8,8,SSD,149.07,237.33
45%,4,4,SSD,87.73,160.0
44%,4,4,SSD,125.07,225.33
46%,8,8,SSD,157.07,293.33
61%,12,12,HDD,154.4,397.33
46%,16,16,HDD,159.73,293.33
33%,8,8,SSD,266.59,400.0
33%,8,8,HDD,133.07,200.0
47%,8,8,SSD,239.73,453.33
17%,16,16,SSD,890.4,1066.67
54%,8,8,HDD,146.01,317.33
40%,4,4,SSD,87.73,146.67
61%,4,4,SSD,93.07,237.33
53%,8,8,SSD,186.4,400.0
38%,8,8,HDD,133.2,213.33
54%,4,64,SSD,85.07,184.0
53%,4,4,SSD,125.07,266.4
57%,16,16,SSD,276.0,640.0
49%,4,128,SSD,87.97,173.33
53%,8,8,SSD,186.4,400.0
13%,12,12,HDD,173.33,200.0
46%,4,4,SSD,93.33,173.33
44%,8,8,HDD,133.07,239.73
58%,4,4,HDD,101.52,240.0
66%,4,4,SSD,101.07,295.74
43%,4,4,HDD,122.4,213.07
47%,4,64,SSD,85.07,160.0
51%,4,4,SSD,117.07,240.0
64%,8,500,HDD,144.0,400.0
29%,8,8,SSD,285.33,400.0
50%,4,4,SSD,106.4,213.07
51%,4,4,SSD,103.73,213.33
45%,8,8,SSD,159.73,293.07
62%,8,8,SSD,200.0,530.67
50%,8,8,HDD,133.07,264.0
52%,8,8,HDD,146.67,306.67
40%,4,4,SSD,104.0,173.33
38%,8,8,SSD,200.0,320.0
45%,8,8,SSD,158.67,290.67
50%,4,128,SSD,106.4,213.33
45%,12,12,HDD,159.73,290.67
43%,4,4,SSD,106.4,186.4
33%,4,4,SSD,119.73,178.67
