name,price,old_price,discount
Refurbished HP Probook 640 Core I5 8GB Ram 500GB HDD 14 Plus Bag and Mouse-Black,"UGX 559,000","UGX 1,400,000",60%
Latitude 11'' Inch 3180/3190 4GB RAM 128GB SSD Refurbished - Grey/Black Grade A,"UGX 349,000","UGX 700,000",50%
"Travelmate,Intel Celeron.4GB RAM 64GB SSD, 12Inches - Black-Refurbished","UGX 329,000","UGX 650,000",49%
"Hp Refurbished Probook TouchScreen X360 Intel 4GB RAM 128GB SSD 11.6""-Grey (Grade A)","UGX 440,000","UGX 980,019",55%
Hp RENEWED Probook 640 core i5 16GB Ram  500GB HDD  GRADE A+ (6MONTHS WARRANTY) -  Black,"UGX 599,000","UGX 1,200,000",50%
"Hp Stream Probook G2/G3  11'6  Inch Mini Laptop, Celeron, 4GB Ram 64GB SSD – Black- Renewed","UGX 329,000","UGX 610,000",46%
"HP ProBook 640 (Refurbished), Intel, 8GB RAM, 500GB HDD, 14-inches - Black (6months warranty)","UGX 487,900","UGX 900,000",46%
"Travelmate 12 Inch Laptop 4GB RAM 128GB SSD, Intel (Refurbished) - Black Grade A","UGX 356,400","UGX 800,000",55%
"Hp Probook G4/G5  11'6  Inch Mini Laptop, Celeron, 4GB Ram 64GB SSD – Grey- Renewed","UGX 329,000","UGX 590,000",44%
Hp Elitebook 840 Intel Core i5- 8GB RAM-500GB HARD DISC - Black,"UGX 579,000","UGX 990,008",42%
"Hp Elite Book 840, Intel Core i5,8GB Ram, 500GB Hdd - Silver & Black","UGX 579,000","UGX 1,790,019",68%
Refurbished ProBook 640 Intel 8gb RAM 500Hdd 14 Inches. - Black Plus FREE MOUSE (6months Warranty),"UGX 489,000","UGX 1,000,000",51%
Lenovo 100e Storage 64GB SSD EMMC / 4GB RAM WiFi - HDMI - Camera - Bluetooth Refurb (6 Months WRTY) Small & Slim - Black.,"UGX 319,000","UGX 780,000",59%
